,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Story_Id,Title,Abstract
0,0,6.0,0.9991000294685364,"Auge, Tier, Mutter, Hand, Erde, Baum, Kind, Kopf, Eltern, Haus",19,Radio Über-All,"Dich quälen Fragen zum Klimawandel? 

Schlechte Luft macht dich so platzwütend wie Krumpel?

Schalte Radio-Überall ein!
Die Sendung mit 6 Ideen zur Rettung des Klimas! 
6 komische, absurde und wissenschaftliche Vorschläge: Damit es nicht so heiß wird auf der Erde. 

Wie gefällt dir die Idee, die Erde einfach ein wenig von der Sonne weg zu schubsen? Findest du sie genauso so großartig wie Krumpel?  Oder hast du Angst vor dem Sprung auf eine neue Umlaufbahn?

Dann setz dich unter einen Sonnenschirm auf eine grüne Wiese, denn du verlierst deine Angst dabei!

Stay tuned - bleib dran!
Mit Krumpel, Ada und Adama.


"
1,1,0.0,0.9991000294685364,"Auge, Mutter, Kind, Baum, Kopf, Vater, Hand, Wasser, Frau, Welt",21,Unser Dorf pflanzt Sauerstoff,"Mathilda wünscht sich Schnee, um mit ihren Freunden  zum Rodeln zu gehen. Doch die Erde schwitzt, so dass es nicht schneit. Mathilda hat einen Plan dies zu ändern. Jeder braucht nur 131 Bäume pflanzen. Zusammen mit den Klassenkameraden der 6b versucht Mathilda das Dorf zu überzeugen. Wird der Plan aufgehen?

Eine Geschichte über Mut, Gemeinschaft und den Willen etwas zum Positiven zu verändern.

 "
2,2,13.0,0.6546000242233276,"Erde, Wasser, Mutter, Kopf, Haus, Auge, mein, Vater, Eltern, Baum",24,Das Märchen vom Klimawandel,"Die Stiefmutter fährt SUV, dem Wolf wird der Wald abgeholzt, und der Frosch ist eigentlich ein verzauberter Wissenschaftler...ein modernes Märchen über den Klimawandel."
3,3,1.0,0.9869999885559082,"Vater, Mutter, Hand, Papa, Erde, Wasser, alt, Freund, Kopf, mein",25,Die drei Geister des Klimawandels,"Bernd ist kein schlechter Kerl, aber er lässt sich nicht gern belehren – vor allem nicht über den Klimawandel. Das bekommt auch die 12-jährige Lea zu spüren, die sich viele Gedanken über umweltfreundliches Verhalten macht. Bernd hat dafür kein Verständnis. Doch dann bekommt er eines Nachts Besuch von drei Geistern. Sie zeigen ihm das Klima der Vergangenheit, der Gegenwart und der Zukunft. Und in dieser spielt auch Lea eine wichtige Rolle…"
4,4,5.0,0.9990000128746033,"Tier, Frau, Wald, Auge, Haus, Vater, alt, mein, Mutter, Freund",27,"Vaiko, der vegetarische Vampir","Im idyllischen Transsilvanien lebt Vaiko mit seiner Vampirfamilie. Er liebt es nachts durch die Wälder zu streifen und sein Futter, die Ratten, zu suchen. Doch die anderen Vampire wollen nicht mehr ihr Futter selber suchen. Da hat Vladi, Vaikos Vater, eine gute Idee. Er lässt einen Holzstall bauen und züchtet die Ratten selber. Alle Vampire sind begeistert. Nur Vaiko nicht. Er sieht, wie schlecht es den Tieren geht und was die Massentierhaltung der Umwelt antut. Er entscheidet sich gegen das Essen der Tiere. Aber gibt es wirklich vegetarische Vampire? Die Situation wird für Vaiko immer schwieriger, bis sein Vater Vladi zu einer folgenschweren Entscheidung kommt. Vaiko steht nun ganz alleine da. Trotzdem kämpft er mutig für das Wohl der Tiere und den Schutz der Umwelt."
5,5,17.0,0.49230000376701355,"Hand, Kopf, Erde, Auge, Kind, Frau, Mutter, alt, Wald, Tier",28,Mariposa de Cristal,"Corinna und ihr kleiner Bruder Kuni gehen mit einem kleinen Alien auf Schmetterlingssuche in den Regenwald. Dort entdecken sie nicht nur viele unglaublich schöne Tiere, sondern müssen auch zusehen, wie etwas Schreckliches mit der Natur geschieht. Kann der Anblick eines kristallenen Schmetterlings die Menschen eines Besseren belehren?"
6,6,17.0,0.9991000294685364,"Hand, Kopf, Erde, Auge, Kind, Frau, Mutter, alt, Wald, Tier",64,Rinderwahn,Auf einer Weide steht ein Bulle und frisst zu viel. Das entfacht eine hitzige Debatte - nicht nur unter seinen Kuhkollegen.
7,7,9.0,0.8848999738693237,"Frau, Eltern, Baum, Vater, alt, Auge, Hand, mein, Mama, Mutter",68,Rettungsmission im Paradies,"Die 12jährige Maren dachte, dass sie einfach einen Urlaub mit ihren Eltern in der Karibik verbrigen würde. Sonne, Meer, Surfen. Doch dann kam alles anders. Müll, wohin sie auch sah, und das selbst in diesem Ferienparadies. Als sie beim Müll aufsammeln auf eine verrostete Drohne stieß,, wollte sie ihren Augen nicht trauen. Das Ding sprach und überbrachte ihr eine Botschaft: Rette das Paradies! "
8,8,12.0,0.5551999807357788,"Auge, Erde, Hand, Baum, Schule, Welt, Eltern, Papa, Wasser, Frau",69,Schollenexpedition,"Leon, Tobi und ihr Pferd Mogul werden von den Bürgern von Exmilanium losgeschickt, die große Eisscholle zu untersuchen. Sie sollen herausfinden, wie stark die Scholle geschmolzen ist. Auf dem Weg dorthin müssen sie sich durch Schneestürme kämpfen und die Eisbären überzeugen, dass sie in guter Absicht kommen. Dabei hilft ihnen Leons Photonenhelm und Tobis Energiestab. Aber auch ohne Moguls Intuition wären sie aufgeschmissen. "
9,9,0.0,0.414900004863739,"Auge, Mutter, Kind, Baum, Kopf, Vater, Hand, Wasser, Frau, Welt",72,Zira - Die Klima-Prinzessin von Ona ,"Zira kommt vom Planet Ona, der früher dem der Erde glich. Das Klima hat Ona fast zerstört. Zira kann auf die Erde flüchten. Dort trifft sie auf den gleichaltrigen Ben und versucht ihm zu erklären, was passiert ist. Doch Ben interessiert sich nicht für das Klima. Bis ...



"
